snr,ber_scl,ber_aiscl,ber_optaiscl,time_scl_ms,time_aiscl_ms,time_optaiscl_ms
4.5,0.000000e+00,0.000000e+00,0.000000e+00,9.567247,16.108097,16.332654
0.0,9.531250e-02,1.054688e-01,1.054688e-01,13.961528,16.176847,16.316055
5.0,0.000000e+00,0.000000e+00,0.000000e+00,9.690907,16.271625,16.207576
0.5,8.671875e-02,9.812500e-02,9.812500e-02,9.383245,15.772704,15.761177
1.0,5.859375e-02,5.859375e-02,5.859375e-02,9.390176,15.735964,15.923525
1.5,4.156250e-02,4.156250e-02,4.156250e-02,9.254883,15.567391,15.599655
2.0,1.015625e-02,1.015625e-02,1.015625e-02,9.218810,15.437833,15.469415
2.5,4.687500e-03,4.687500e-03,4.687500e-03,9.266447,15.636461,15.658895
3.0,1.562500e-04,1.562500e-04,1.562500e-04,9.272579,15.674344,15.680893
3.5,0.000000e+00,0.000000e+00,0.000000e+00,9.198375,15.542616,15.427735
4.0,2.031250e-03,2.031250e-03,2.031250e-03,9.160616,15.337035,15.386326
4.5,0.000000e+00,0.000000e+00,0.000000e+00,9.196013,15.420535,15.448025
5.0,0.000000e+00,0.000000e+00,0.000000e+00,9.157622,15.378337,15.411802
