Comparing SCL vs AISCL
Parameters: N=128 K=64 L=4 messages=200

SNR(dB) | BER_scl | BER_aiscl | time_scl(ms) | time_aiscl(ms) | ops_scl | ops_aiscl | flops_scl | flops_aiscl
  0.0  | 1.018750e-01 | 1.018750e-01 |   11.231 |    9.668 | 959.4 | 959.4 | 458200 | 970120
  0.5  | 6.460937e-02 | 6.460937e-02 |    9.176 |    9.713 | 960.0 | 960.0 | 458752 | 970752
  1.0  | 5.726563e-02 | 5.726563e-02 |    9.046 |    9.575 | 960.0 | 960.0 | 458752 | 970752
  1.5  | 2.570313e-02 | 2.570313e-02 |    9.013 |    9.535 | 960.0 | 960.0 | 458752 | 970752
  2.0  | 1.062500e-02 | 1.062500e-02 |    9.225 |    9.791 | 960.0 | 960.0 | 458752 | 970752
  2.5  | 1.000000e-02 | 1.000000e-02 |    9.223 |    9.798 | 960.0 | 960.0 | 458752 | 970752
  3.0  | 5.234375e-03 | 5.234375e-03 |    9.182 |    9.740 | 960.0 | 960.0 | 458752 | 970752
  3.5  | 1.796875e-03 | 1.796875e-03 |    9.012 |    9.533 | 960.0 | 960.0 | 458752 | 970752
  4.0  | 0.000000e+00 | 0.000000e+00 |    9.165 |    9.699 | 960.0 | 960.0 | 458752 | 970752
  4.5  | 0.000000e+00 | 0.000000e+00 |    9.198 |    9.748 | 960.0 | 960.0 | 458752 | 970752
  5.0  | 0.000000e+00 | 0.000000e+00 |    9.267 |    9.820 | 960.0 | 960.0 | 458752 | 970752
